phase,start_ms,end_ms,note
baseline,1786760088034,1786760208084,part2_pre
cell_Q8_0_t4,1786760208714,1786760248148,rep1;temp_start=35.1;temp_end=34.1
cooldown,1786760248837,1786760338898,Q8_0_t4_rep1
cell_Q8_0_t4,1786760339512,1786760377426,rep2;temp_start=33.6;temp_end=33.8
cooldown,1786760378089,1786760468154,Q8_0_t4_rep2
cell_Q8_0_t4,1786760469072,1786760505525,rep3;temp_start=33.6;temp_end=33.6
cooldown,1786760506557,1786760596636,Q8_0_t4_rep3
cell_Q8_0_t4,1786760597220,1786760634741,rep4;temp_start=33.2;temp_end=33.5
cooldown,1786760635422,1786760725478,Q8_0_t4_rep4
cell_Q8_0_t4,1786760726049,1786760762583,rep5;temp_start=33.2;temp_end=33.6
cooldown,1786760763243,1786760853305,Q8_0_t4_rep5
cell_Q8_0_t8,1786760853922,1786760899285,rep1;temp_start=33.2;temp_end=33.6
cooldown,1786760900040,1786760990126,Q8_0_t8_rep1
cell_Q8_0_t8,1786760991101,1786761047516,rep2;temp_start=33.3;temp_end=33.6
cooldown,1786761048776,1786761138831,Q8_0_t8_rep2
cell_Q8_0_t8,1786761139515,1786761184958,rep3;temp_start=33.4;temp_end=33.7
cooldown,1786761185640,1786761275711,Q8_0_t8_rep3
cell_Q8_0_t8,1786761276749,1786761327666,rep4;temp_start=33.5;temp_end=33.9
cooldown,1786761328367,1786761418432,Q8_0_t8_rep4
cell_Q8_0_t8,1786761419028,1786761465184,rep5;temp_start=33.9;temp_end=34.7
cooldown,1786761465863,1786761555905,Q8_0_t8_rep5
baseline,1786761555933,1786761675988,part2_post
