phase,start_ms,end_ms,note
baseline,1786755524774,1786755644808,pre
cell_Q4_0_t1,1786755645704,1786755692340,rep1;temp_start=33.9;temp_end=34.0
cooldown,1786755693019,1786755783086,Q4_0_t1_rep1
cell_Q4_0_t1,1786755783778,1786755834981,rep2;temp_start=33.9;temp_end=34.1
cooldown,1786755836039,1786755926115,Q4_0_t1_rep2
cell_Q4_0_t1,1786755926688,1786755968882,rep3;temp_start=34.2;temp_end=34.6
cooldown,1786755969547,1786756059627,Q4_0_t1_rep3
cell_Q4_0_t1,1786756060569,1786756113455,rep4;temp_start=34.6;temp_end=35.1
cooldown,1786756114402,1786756204472,Q4_0_t1_rep4
cell_Q4_0_t1,1786756205038,1786756253843,rep5;temp_start=34.9;temp_end=35.3
cooldown,1786756254583,1786756344640,Q4_0_t1_rep5
cell_Q4_0_t4,1786756345262,1786756369140,rep1;temp_start=35.2;temp_end=34.6
cooldown,1786756369817,1786756459909,Q4_0_t4_rep1
cell_Q4_0_t4,1786756460803,1786756482252,rep2;temp_start=33.8;temp_end=33.6
cooldown,1786756483223,1786756573287,Q4_0_t4_rep2
cell_Q4_0_t4,1786756573982,1786756596318,rep3;temp_start=33.2;temp_end=32.9
cooldown,1786756596947,1786756687036,Q4_0_t4_rep3
cell_Q4_0_t4,1786756687916,1786756710353,rep4;temp_start=32.7;temp_end=32.8
cooldown,1786756711394,1786756801454,Q4_0_t4_rep4
cell_Q4_0_t4,1786756802306,1786756823653,rep5;temp_start=32.1;temp_end=32.2
cooldown,1786756824624,1786756914730,Q4_0_t4_rep5
cell_Q4_0_t8,1786756915803,1786756950017,rep1;temp_start=31.9;temp_end=32.1
cooldown,1786756950915,1786757040985,Q4_0_t8_rep1
cell_Q4_0_t8,1786757041595,1786757072583,rep2;temp_start=31.9;temp_end=33.0
cooldown,1786757073285,1786757163360,Q4_0_t8_rep2
cell_Q4_0_t8,1786757164026,1786757194162,rep3;temp_start=32.6;temp_end=33.1
cooldown,1786757194831,1786757284933,Q4_0_t8_rep3
cell_Q4_0_t8,1786757285880,1786757319492,rep4;temp_start=32.6;temp_end=32.9
cooldown,1786757320326,1786757410407,Q4_0_t8_rep4
cell_Q4_0_t8,1786757411453,1786757445731,rep5;temp_start=32.5;temp_end=32.6
cooldown,1786757446722,1786757536809,Q4_0_t8_rep5
cell_Q8_0_t4,1786757537873,1786757574845,rep1;temp_start=32.3;temp_end=32.7
cooldown,1786757575806,1786757665942,Q8_0_t4_rep1
baseline,1786760088034,1786760208084,part2_pre
cell_Q8_0_t4,1786760208714,1786760248148,rep1;temp_start=35.1;temp_end=34.1
cooldown,1786760248837,1786760338898,Q8_0_t4_rep1
cell_Q8_0_t4,1786760339512,1786760377426,rep2;temp_start=33.6;temp_end=33.8
cooldown,1786760378089,1786760468154,Q8_0_t4_rep2
cell_Q8_0_t4,1786760469072,1786760505525,rep3;temp_start=33.6;temp_end=33.6
cooldown,1786760506557,1786760596636,Q8_0_t4_rep3
cell_Q8_0_t4,1786760597220,1786760634741,rep4;temp_start=33.2;temp_end=33.5
cooldown,1786760635422,1786760725478,Q8_0_t4_rep4
cell_Q8_0_t4,1786760726049,1786760762583,rep5;temp_start=33.2;temp_end=33.6
cooldown,1786760763243,1786760853305,Q8_0_t4_rep5
cell_Q8_0_t8,1786760853922,1786760899285,rep1;temp_start=33.2;temp_end=33.6
cooldown,1786760900040,1786760990126,Q8_0_t8_rep1
cell_Q8_0_t8,1786760991101,1786761047516,rep2;temp_start=33.3;temp_end=33.6
cooldown,1786761048776,1786761138831,Q8_0_t8_rep2
cell_Q8_0_t8,1786761139515,1786761184958,rep3;temp_start=33.4;temp_end=33.7
cooldown,1786761185640,1786761275711,Q8_0_t8_rep3
cell_Q8_0_t8,1786761276749,1786761327666,rep4;temp_start=33.5;temp_end=33.9
cooldown,1786761328367,1786761418432,Q8_0_t8_rep4
cell_Q8_0_t8,1786761419028,1786761465184,rep5;temp_start=33.9;temp_end=34.7
cooldown,1786761465863,1786761555905,Q8_0_t8_rep5
baseline,1786761555933,1786761675988,part2_post
